,Rank,Title,Artist(s),Year,Lyrics,Source
101,2,despacito,luis fonsi and daddy yankee featuring justin bieber,2017,,
102,3,that's what i like,bruno mars,2017,"[""I got a condo in Manhattan\nBaby girl, what's hatnin'?\nYou and your ass invited\nSo gon' and get to clappin'\nSo pop it for a pimp\nPop, pop it for me\nTurn around and drop it for a pimp\nDrop, drop it for me\nI'll rent a beach house in Miami\nWake up with no jammies\nLobster tail for dinner\nJulio serve that scampi\nYou got it if you want it\nGot, got it if you want it\nSaid you got it if you want it\nTake my wallet if you want it now"", ""Jump in the Cadillac\nGirl, let's put some miles on it\nAnything you want\nJust to put a smile on it\nYou deserve it baby, you deserve it all\nAnd I'm gonna give it to you"", ""Gold jewelry shining so bright\nStrawberry champagne on ice\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\nSex by the fire at night\nSilk sheets and diamonds all white\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like"", ""I'm talkin' trips to Puerto Rico\nSay the word and we go\nYou can be my freaka\nGirl, I'll be on fleek, ah, mamacita\nI will never make a promise that I can't keep\nI promise that you'll smile and gon' never leave\nShopping sprees in Paris\nEverything 24 carats\nTake a look in that mirror\nNow tell me who's the fairest\nIs it you? (is it you?) Is it me? (is it me?)\nSay it's us (say it's us) and I'll agree, baby"", ""Jump in the Cadillac\nGirl, let's put some miles on it\nAnything you want\nJust to put a smile on it\nYou deserve it baby, you deserve it all\nAnd I'm gonna give it to you"", ""Gold jewelry shining so bright\nStrawberry champagne on ice\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\nSex by the fire at night\nSilk sheets and diamonds all white\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like"", ""If you say you want a good time\nWell here I am baby, here I am baby\nTalk to me, talk to me, talk to me\nTell me what's on your mind\nIf you want it, girl come and get it\nAll this is here for you\nTell me baby, tell me, tell me baby\nWhat you tryna do"", ""Gold jewelry shining so bright\nStrawberry champagne on ice\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like\nSex by the fire at night\nSilk sheets and diamonds all white\nLucky for you, that's what I like, that's what I like\nLucky for you, that's what I like, that's what I like""]",1
103,4,humble,kendrick lamar,2017,"['Nobody pray for me, \nIt been that day for me\nWaaaaay (yeah, yeah!)', ""\nAyy, I remember syrup sandwiches and crime allowances\nFinesse a nigga with some counterfeits\nBut now I'm countin' this\nParmesan where my accountant lives\nIn fact, I'm downin' this\nD'USSÉ with my boo bae, tastes like Kool-Aid for the analysts\nGirl, I can buy yo' ass the world with my paystub\nOoh, that pussy good, won't you sit it on my taste bloods?\nI get way too petty once you let me do the extras\nPull up on your block, then break it down: we playin' Tetris\nA.M. to the P.M., P.M. to the A.M., funk\nPiss out your per diem, you just gotta hate 'em, funk\nIf I quit your BM, I still ride Mercedes, funk\nIf I quit this season, I still be the greatest, funk\nMy left stroke just went viral\nRight stroke put lil' baby in a spiral\nSoprano C, we like to keep it on a high note\nIt's levels to it, you and I know, bitch, be humble"", ""\n(Hol' up, bitch) sit down\n(Hol' up lil' bitch, hol' up lil' bitch) be humble\n(Hol' up, bitch) sit down\n(Sit down, hol' up, lil' bitch)\nBe humble (bitch)\n(Hol' up, hol' up, hol' up, hol' up) bitch, sit down\nLil' bitch (hol' up, lil' bitch) be humble\n(Hol' up, bitch) sit down\n(Hol' up, hol' up, hol' up, hol' up) be humble\n(Hol' up, hol' up, hol' up, hol' up, lil' bitch) sit down\n(Hol' up lil' bitch) be humble\n(Hol' up, bitch) sit down\n(Hol' up, sit down, lil' bitch)\n(Sit down, lil' bitch, be humble)\n(Hol' up, hol' up, hol' up, hol' up, lil' bitch) bitch, sit down\n(Hol' up, bitch) be humble\n(Hol' up, bitch) sit down\n(Hol' up, hol' up, hol' up, hol' up)"", ""Who dat nigga thinkin' that he frontin' on man, man? (Man, man)\nGet the fuck off my stage, I'm the Sandman (Sandman)\nGet the fuck off my dick, that ain't right\nI make a play fuckin' up your whole life\nI'm so fuckin' sick and tired of the Photoshop\nShow me somethin' natural like afro on Richard Pryor\nShow me somethin' natural like ass with some stretchmarks\nStill will take you down right on your mama's couch in Polo socks, ayy\nThis shit way too crazy, ayy, you do not amaze me, ayy\nI blew cool from AC, ayy, Obama just paged me, ayy\nI don't fabricate it, ayy, most of y'all be fakin', ayy\nI stay modest 'bout it, ayy, she elaborate it, ayy\nThis that Grey Poupon, that Evian, that TED Talk, ayy\nWatch my soul speak, you let the meds talk, ayy\nIf I kill a nigga, it won't be the alcohol, ayy\nI'm the realest nigga after all, bitch, be humble"", ""\n(Hol' up, bitch) sit down\n(Hol' up lil' bitch, hol' up lil' bitch) be humble\n(Hol' up, bitch) sit down\n(Sit down, hol' up, lil' bitch)\nBe humble (bitch)\n(Hol' up, hol' up, hol' up, hol' up) bitch, sit down\nLil' bitch (hol' up, lil' bitch) be humble\n(Hol' up, bitch) sit down\n(Hol' up, hol' up, hol' up, hol' up) be humble\n(Hol' up, hol' up, hol' up, hol' up, lil' bitch) sit down\n(Hol' up lil' bitch) be humble\n(Hol' up, bitch) sit down\n(Hol' up, sit down, lil' bitch)\n(Sit down, lil' bitch, be humble)\n(Hol' up, hol' up, hol' up, hol' up, lil' bitch) bitch, sit down\n(Hol' up, bitch) be humble\n(Hol' up, bitch) sit down\n(Hol' up, hol' up, hol' up, hol' up)""]",1
104,5,something just like this,the chainsmokers and coldplay,2017,,
105,6,bad and boujee,migos featuring lil uzi vert,2017,,
106,7,closer,the chainsmokers featuring halsey,2017,"[""Hey, I was doing just fine before I met you\nI drink too much and that's an issue, but I'm okay\nHey, you tell your friends it was nice to meet them\nBut I hope I never see them again"", ""I know it breaks your heart\nMoved to the city in a broke-down car and\n4 years, no calls\nNow you're looking pretty in a hotel bar and\nI-I-I can't stop\nNo, I-I-I can't stop"", ""So, baby, pull me closer\nIn the back seat of your Rover\nThat I know you can't afford\nBite that tattoo on your shoulder"", ""Pull the sheets right off the corner\nOf that mattress that you stole\nFrom your roommate back in Boulder\nWe ain't ever getting older"", ""We ain't ever getting older\nWe ain't ever getting older"", 'You look as good as the day I met you\nI forget just why I left you, I was insane\nStay and play that Blink-182 song\nThat we beat to death in Tucson, okay', ""I know it breaks your heart\nMoved to the city in a broke-down car and\n4 years, no call\nNow I'm looking pretty in a hotel bar and\nI-I-I can't stop\nNo, I-I-I can't stop"", ""So, baby, pull me closer\nIn the back seat of your Rover\nThat I know you can't afford\nBite that tattoo on your shoulder"", ""Pull the sheets right off the corner\nOf that mattress that you stole\nFrom your roommate back in Boulder\nWe ain't ever getting older"", ""We ain't ever getting older\nWe ain't ever getting older"", ""So, baby, pull me closer\nIn the back seat of your Rover\nThat I know you can't afford\nBite that tattoo on your shoulder"", ""Pull the sheets right off the corner\nOf that mattress that you stole\nFrom your roommate back in Boulder\nWe ain't ever getting older"", ""We ain't ever getting older\nNo, we ain't ever getting older\nWe ain't ever getting older\nNo, we ain't ever getting older"", ""We ain't ever getting older\nWe ain't ever getting older\nWe ain't ever getting older\nNo, we ain't ever getting older"", ""We ain't ever getting older\nNo, we ain't ever getting older""]",1
107,8,body like a back road,sam hunt,2017,"[""Got a girl from the Southside\nGot braids in her hair\nFirst time I seen her walk by\nMan I 'Bout fell up out my chair"", 'Had to get her number\nTook me like 6 weeks\nNow me and her go way back\nLike Cadillac seats', ""Body like a back road\nCould drive it with my eyes closed\nI know every curve like the back of my hand\nDoin' fifteen in a thirty\nI ain't in no hurry\nI'm a take it slow just as fast as I can"", ""The way she fit in them blue jeans\nShe don't need no belt\nBut I can turn 'em inside out\nI don't need no help"", ""Got hips like honey\nSo thick and so sweet\nAin't no curves like hers\nOn them downtown streets"", ""Body like a back road\nCould drive it with my eyes closed\nI know every curve like the back of my hand\nDoin' fifteen in a thirty\nI ain't in no hurry\nI'm a take it slow just as fast as I can"", ""We're out here in the boondocks\nWith the breeze and the birds\nTangled up in the tall grass\nWith my lips on hers"", 'On a highway to Heaven\nHeaded south of her smile\nGet there when we get there\nEvery inch is a mile', ""Body like a back road\nCould drive it with my eyes closed\nI know every curve like the back of my hand\nDoin' fifteen in a thirty\nI ain't in no hurry\nI'm a take it slow just as fast as I can"", ""I'm take it slow just as fast I can"", 'Got the breeze, aah ha', '(Body like a back road\nCould drive it with my eyes closed\nI know every curve like the back of my hand)']",1
108,9,believer,imagine dragons,2017,"[""First things first\nI'mma say all the words inside my head\nI'm fired up and tired of the way that things have been, oh-ooh\nThe way that things have been, oh-ooh\nSecond thing second\nDon't you tell me what you think that I can be\nI'm the one at the sail, I'm the master of my sea, oh-ooh\nThe master of my sea, oh-ooh"", 'I was broken from a young age\nTaking my soul into the masses\nWrite down my poems for the few\nThat looked at me Took to me, shook to me, feeling me\nSinging from heart ache from the pain\nTake up my message from the veins\nSpeaking my lesson from the brain\nSeeing the beauty through the...', 'Pain!\nYou made me a, you made me a believer, believer\nPain!\nYou break me down, you build me up, believer, believer\nPain!\nI let the bullets fly, oh let them rain\nMy luck, my love, my God, they came from...\nPain!\nYou made me a, you made me a believer, believer', ""Third things third\nSend a prayer to the ones up above\nAll the hate that you've heard has turned your spirit to a dove, oh-ooh\nYour spirit up above, oh-ooh"", 'I was choking in the crowd\nLiving my brain up in the cloud\nFalling like ashes to the ground\nHoping my feelings, they would drown\nBut they never did, ever lived, ebbing and flowing\nInhibited, limited\nTill it broke up and it rained down\nIt rained down, like...', 'Pain!\nYou made me a, you made me a believer, believer\nPain!\nYou break me down, you built me up, believer, believer\nPain!\nI let the bullets fly, oh let them rain\nMy luck, my love, my God, they came from...\nPain!\nYou made me a, you made me a believer, believer', ""Last things last\nBy the grace of the fire and the flames\nYou're the face of the future, the blood in my veins, oh-ooh\nThe blood in my veins, oh-ooh\nBut they never did, ever lived, ebbing and flowing\nInhibited, limited\nTill it broke up and it rained down\nIt rained down, like..."", 'Pain!\nYou made me a, you made me a believer, believer\nPain!\nYou break me down, you built me up, believer, believer\nPain!\nI let the bullets fly, oh let them rain\nMy luck, my love, my God, they came from...\nPain!\nYou made me a, you made me a believer, believer']",1
109,10,congratulations,post malone featuring quavo,2017,"['Mm-mmm\nYeah, yeah\nMm-mmm\nYeah', ""My momma called, seen you on TV, son\nSaid shit done changed ever since we was on\nI dreamed it all ever since I was young\nThey said I wouldn't be nothing\nNow they always say congratulations\nWorked so hard, forgot how to vacation\nThey ain't never had the dedication\nPeople hatin', say we changed and look, we made it\nYeah, we made it"", ""They was never friendly, yeah\nNow I'm jumping out the Bentley, yeah\nAnd I know I sound dramatic, yeah\nBut I know I had to have it, yeah\nFor the money, I'm a savage, yeah\nI be itching like a addict, yeah\nI'm surrounded, twenty bad bitches, yeah\nBut they didn't know me last year, yeah\nEveryone wanna act like they important\n(Yeah, yeah, yeah, yeah, yeah, yeah)\nBut all that mean nothing when I saw my dog\n(Yeah, yeah, yeah, yeah, yeah, yeah)\nEveryone counting on me, drop the ball\n(Yeah, yeah, yeah, yeah, yeah, yeah)\nEverything costing like I'm at the bottom, yeah, yeah\nIf you fuck with winning, put your lighters to the sky\nHow could I make sense when I got millions on my mind?\nComing with that bullshit, I just put it to the side\nBalling since a baby, they could see it in my eyes"", ""My momma called, seen you on TV, son\nSaid shit done changed ever since we was on\nI dreamed it all ever since I was young\nThey said I wouldn't be nothing\nNow they always say congratulations\nWorked so hard, forgot how to vacation\nThey ain't never had the dedication\nPeople hatin', say we changed and look we made it\nYeah, we made it"", ""I was patient, yeah, oh\nI was patient, aye, oh\nNow I can scream that we made it\nNow everyone, everywhere I go, they say 'gratulations\nYoung nigga, young nigga, graduation\nI pick up the rock and I ball, baby\nI'm looking for someone to call, baby\nBut right now, I got a situation\nNothing but old Ben-Ben Franklins\nBig rings, champagne\nMy life is like a ball game\nBut instead, I'm in the trap though\nPot so big, call it Super Bowl\nSuper Bowl, call the hoes, get in the Rolls\nTop-floor lifestyle, Huncho and Post\nMalone, I got a play on my phone, aye\nYou know what I'm on, aye\nHuncho Houdini is gone, aye"", ""My momma called, seen you on TV, son\nSaid shit done changed ever since we was on\nI dreamed it all ever since I was young\nThey said I wouldn't be nothing\nNow they always say congratulations\nWorked so hard, forgot how to vacation\nThey ain't never had the dedication\nPeople hatin', say we changed and look we made it\nYeah, we made it"", 'Hey, hey\nHey, hey\nHey, hey\nHey, hey']",1
110,11,say you won't let go,james arthur,2017,"['I met you in the dark\nYou lit me up\nYou made me feel as though\nI was enough\nWe danced the night away\nWe drank too much\nI held your hair back when\nYou were throwing up', 'Then you smiled over your shoulder\nFor a minute, I was stone cold sober\nI pulled you closer to my chest\nAnd you asked me to stay over\nI said, I already told ya\nI think that you should get some rest', ""I knew I loved you then\nBut you'd never know\nCause I played it cool\nWhen I was scared of letting go\nI know I needed you\nBut I never showed\nBut I wanna stay with you\nUntil we're grey and old\nJust say you won't let go\nJust say you won't let go"", ""I wake you up with some breakfast in bed\nI'll bring you coffee\nWith a kiss on your head\nAnd I'll take the kids to school\nWave them goodbye\nAnd I'll thank my lucky stars for that night"", ""When you looked over your shoulder\nFor a minute, I forget that I'm older\nI wanna dance with you right now, oh\nAnd you look as beautiful as ever\nAnd I swear that everyday you'll get better\nYou make me feel this way somehow"", ""I'm so in love with you\nAnd I hope you know\nDarling your love is more\nthan its worth in gold\nWe've come so far my dear\nLook how we've grown\nAnd I wanna stay with you\nUntil we're grey and old\nJust say you won't let go\nJust say you won't let go"", ""I wanna live with you\nEven when we're ghosts\nCause you were always there for me\nWhen I needed you most"", ""I'm gonna love you till\nMy lungs give out\nI promise till death we part\nLike in our vows\nSo I wrote this song for you\nNow everybody knows\nCause it's just you and me\nUntil we're grey and old\nJust say you won't let go\nJust say you won't let go"", ""Just say you won't let go\nOh, just say you won't let go""]",1
111,12,i'm the one,"dj khaled featuring justin bieber, quavo, chance the rapper and lil wayne",2017,"['We The Best Music\nAnother one!\nDJ Khaled', ""Yeah, you're lookin' at the truth, the money never lie no\nI'm the one, yeah, I'm the one\nEarly mornin' in the dawn, know you wanna ride now (that's right)\nI'm the one, yeah (that's right), I'm the one, yeah\nYeah, you're sick of all those other imitators\nDon't let the only real one intimidate you\nSee you watchin', don't run outta time now\nI'm the one, yeah"", ""Oh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one\nYeah, yeah!"", ""Quavo!\nI'm the one that hit that same spot (hit it)\nShe the one that bring them rain drops (rain drops)\nWe go back, remember criss-cross and hopscotch? (hopscotch)\nYou the one that hold me down when the block's hot (hot)\nI make your dreams come true when you wake up (dream)\nAnd your look's just the same without no make-up\nHad to pull up on your mama, see what you're made of (mama)\nAin't gotta worry 'bout 'em commas 'cause my cake up\nYou can run inside my life from that fame bus\n'Cause I promise when we step out you'll be famous\nModern day Bonnie and Clyde what they named us\n'Cause when we pull up (prr prr) all angles"", ""Yeah, you're lookin' at the truth, the money never lie no\nI'm the one, yeah, I'm the one\nEarly mornin' in the dawn, know you wanna ride now (that's right)\nI'm the one, yeah (that's right), I'm the one, yeah\nYeah, you're sick of all those other imitators\nDon't let the only real one intimidate you\nSee you watchin', don't run outta time now\nI'm the one, yeah"", ""Oh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one\nOkay though"", ""Uh, she beat her face up with that new Chanel\nShe like the price, she see the ice it make her coochie melt\nWhen I met her in the club I asked her who she felt\nThen she went and put that booty on that Gucci belt\nWe don't got no label\nShe say she want bottles, she ain't got no table\nShe don't got no bed frame, she don't got no tables\nWe just watching Netflix, she ain't got no cable, okay though\nPlug, plug, plug, I'm the plug for her\nShe want a nigga that pull her hair and hold the door for her\nBaby, that's only me, bitch, it okay with me\nBaby, okay, okay though"", ""Yeah, you're lookin' at the truth, the money never lie no\nI'm the one, yeah, I'm the one\nEarly mornin' in the dawn, know you wanna ride now (that's right)\nI'm the one, yeah (that's right), I'm the one, yeah\nYeah, you're sick of all those other imitators\nDon't let the only real one intimidate you\nSee you watchin', don't run outta time now\nI'm the one, yeah"", ""Oh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one"", ""Lookin' for the one? Well, bitch, you're looking at the one\nI'm the best yet, and yet, my best is yet to come\n'Cause I've been lookin' for somebody, not just any fuckin' body\nDon't make me catch a body, that's for any and everybody\nOh my God! She hit me up all day, give no response\nBitch, you blow my high, that's like turning gold to bronze\nRoll my eyes\nAnd when she on the molly she a zombie\nShe think we Clyde and Bonnie, but it's more like Whitney Bobby\nGod, forgive me\nTunechi and finessin', I'm a legend\nStraight up out The Crescent, fly your bae down for the Essence\nFor the record I knew Khaled when that boy was spinnin' records\nMula gang winning record, I'm just flexing on my exes, oh God!"", ""Yeah, you're lookin' at the truth, the money never lie no\nI'm the one, yeah, I'm the one\nEarly mornin' in the dawn, know you wanna ride now (that's right)\nI'm the one, yeah (that's right), I'm the one, yeah\nYeah, you're sick of all those other imitators\nDon't let the only real one intimidate you\nSee you watchin', don't run outta time now\nI'm the one, yeah"", ""Oh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the one\nOh-eh-oh-oh-oh, oh-eh-oh\nI'm the only one"", ""(Another one)\nDon't you know girl, don't you know girl\nI am the one for you (I'm the one) yeah I'm the one\nDon't you know girl, don't you know girl\nI am the one for you (I'm the one) yeah I'm the one\nDon't you know girl, don't you know girl\nI am the one for you (I'm the one) yeah I'm the one\nDon't you know girl, don't you know girl\nI am the one for you (I'm the one) yeah I'm the one""]",1
112,13,xo tour llif3,lil uzi vert,2017,"[""Are you alright?\nI'm alright, I'm quite alright\nAnd my money's right\n8... (yeah)\nCountin' them bands all way to the top, 'til they be fallin' over\nCountin' them bands, on my way to the top, 'til we fallin' over"", 'I don\'t really care if you cry\nOn the real you should\'ve never lied\nShould\'ve saw the way she looked me in my eyes\nShe said, ""Baby, I am not afraid to die""\nPush me to the edge\nAll my friends are dead\nPush me to the edge\nAll my friends are dead\nPush me to the edge\nAll my friends are dead\nPush me to the edge', 'Phantom that\'s all red, inside all white\nLike something you ride a sled down, I just want that head\nMy Brittany got mad, I\'m barely her man now\nEverybody got the same swag now, watch the way that I tear it down\nStackin\' my bands all the way to the top, all the way \'til my bands fallin\' over\nEvery time that you leave your spot, your girlfriend call me like, ""Come on over""\nI like the way that she treat me, gon\' leave you, won\'t leave me, I call it that Casanova\nShe say I\'m insane, yeah\nI might blow my brain out\nXanny help the pain, yeah\nPlease, Xanny make it go away\nI\'m committed, not addicted, but it keep control of me\nAll the pain, now I can\'t feel it, I swear that it\'s slowin\' me, yeah\n', '\nI don\'t really care if you cry\nOn the real, you should\'ve never lied\nSaw the way she looked me in my eyes\nShe said ""I am not afraid to die""\nAll my friends are dead\nPush me to the edge\nAll my friends are dead, yeah\nPush me to the edge\nAll my friends are dead, yeah\nAll my friends are dead, yeah', ""That is not your swag, I swear you fake hard\nNow these niggas wanna take my cadence\nRain on 'em, thunderstorm, rain on 'em\nMedicine, lil' nigga take some\nFast car, Nascar, race on 'em\nIn the club, ain't got no ones, then we would become\nClothes from overseas, got the racks and they all C-Notes\nYou is not a G, though\nLookin' at you stackin' all your money, it all green though\nI was countin' that and these all twenties, that's a G-roll"", '\nShe say, ""You\'re the worst; you\'re the worst""\nI cannot die because this my universe', '\nI don\'t really care if you cry\nOn the real, you should\'ve never lied\nShould\'ve saw the way she looked me in my eyes\nShe said, ""Baby, I am not afraid to die""\nPush me to the edge\nAll my friends are dead\nPush me to the edge\nAll my friends are dead\nPush me to the edge\nAll my friends are dead\nPush me to the edge']",1
113,14,mask off,future,2017,"['Call it how it is\nHendrix\nI promise, I swear, I swear\nYou heard\nSpit it\nYo', ""\nPercocets, molly, Percocets\nPercocets, molly, Percocets\nRep the set, gotta rep the set\nChase a check, never chase a bitch\nMask on, fuck it, mask off\nMask on, fuck it, mask off\nPercocets, molly, Percocets\nChase a check, never chase a bitch\nDon't chase no bitches"", ""\nTwo cups, toast up with the gang\nFrom food stamps to a whole another domain\nOut the bottom, I'm the livin' proof (Super)\nThey compromising, half a million on the Coupe\nDrug houses, lookin' like Peru\nGraduated, I was overdue\nPink molly, I can barely move\nAsk about me, I'm gon' bust a move\nRick James, 33 chains\nOcean Ave., cruisin' Biscayne\nTop off, that's a liability\nHit the gas, boostin' my adrenaline"", ""\nPercocets, molly, Percocets\nPercocets, molly, Percocets\nRep the set, gotta rep the set\nChase a check, never chase a bitch\nMask on, fuck it, mask off\nMask on, fuck it, mask off\nPercocets, molly, Percocets\nChase a check, never chase a bitch\nDon't chase no bitches"", ""\nBefore the Maybach, I'd drive anything\nBuy my Range, make 'em go insane"", ""My guillotine, drank promethazine\nTec and beams, go to those extremes\nParliament, call up Mari Wednesday\nParlay in Vegas, we was in attendance\nBefore the business?, Theodore lenses\nWhole prescriptions, focus on the missions\nIntermission, never take a break\nSwitch states, touch down, foreign plates\nAin't no way, ain't no fucking way\nWe call the play, we didn't come to play\nRob the bank, we gon' rob the game\nThey gang, we gang...but they are not the same (Freebandz)"", ""\nPercocets, molly, Percocets\nPercocets, molly, Percocets\nRep the set, gotta rep the set\nChase a check, never chase a bitch\nMask on, fuck it, mask off\nMask on, fuck it, mask off\nPercocets, molly, Percocets\nChase a check, never chase a bitch\nDon't chase no bitches"", 'Mask on, fuck it, mask off\nMask on, fuck it, mask off\nMask on, fuck it, mask off\nGas gone, never nod off\n(Cold chills, prison cells)\n(Oh my Lord, praise him be)']",1
114,15,unforgettable,french montana featuring swae lee,2017,"[""It's not good enough for me, since I been with you\nIt's not gonna work for you, nobody can equal me (I know)\nI'm gonna sip on this drink, when I'm fucked up\nI should know how to pick up\nI'm gonna catch the rhythm while she push up against me\nOoh, was she tipsy\nI had enough convo for 24\nI peeped you from across the room\nPretty little body, dancing like GoGo, aye"", ""And you are unforgettable\nI need to get you alone\nWhy not?\nA fucking good time, never hurt nobody\nI got a little drink but it's not Bacardi\nIf you loved the girl then I'm so, so sorry\nI got to give it to her like we in a marriage"", ""Oh, like we in a hurry\nNo, no, I won't tell nobody\nYou're on your level too\nTryna do what lovers do"", ""Feelin' like I'm fresh out, Boosie\nIf they want the drama, got the Uzi\nShip the whole crew to the cruise ship\nDoin' shit you don't even see in movies\nRide with me, ride with me, boss\nI got a hard head but her ass soft\nShe want the last name with the ring on it\n'Cause I pulled out a million cash,\nTold her plank on it"", 'And you are unforgettable\nI need to get you alone', ""Now you wanna choose\nJust pop the bubbly in the 'cuzi"", ""It's not good enough for me, since I been with you, ooh\nI'm gonna sip on this drink, when I'm fucked up\nI should know how to pick up\nI'm gonna catch the rhythm while she push up against me\nOoh, was she tipsy\nI had enough convo for 24\nI peeped you from across the room\nPretty little body, dancing like GoGo"", ""And you are unforgettable\nI need to get you alone\nWhy not?\nA fucking good time, never hurt nobody\nI got a little drink but it's not Bacardi\nIf you loved the girl then I'm so, so sorry\nI got to give it to her like we in a marriage"", ""Oh, like we in a hurry\nNo, no, I won't tell nobody\nYou're on your level too\nTryna do what lovers do"", ""Oh oh, you ain't enough for me\nToo much for you alone\nBaby, go and grab some bad bitches, bring 'em home\nKnow the jet's on me\nI'mma curve my best for you, you know\nSo pick up that dress for me\nLeave the rest on\nToo much convo 24 hours\nWhen you stand next to 24 karats\nShe left her man at home\nShe don't love him no more\nI want your mind and your body\nDon't mind nobody\nSo, you don't ever hurt nobody\nBaby girl work your body\nWork your body"", 'And you are unforgettable\nI need to get you alone', ""Now you wanna choose\nJust pop the bubbly in the 'cuzi"", ""Why not?\nOh, like we in a hurry\nNo, no, I won't tell nobody\nYou're on your level too\nTryna do what lovers do""]",1
115,16,24k magic,bruno mars,2017,"[""Tonight\nI just want to take you higher\nThrow your hands up in the sky\nLet's set this party off right"", ""Players, put yo' pinky rings up to the moon\nGirls, what y'all trying to do?\n24 karat magic in the air\nHead to toe soul player\nUh, look out!"", ""Pop pop, it's show time (Show time)\nShow time (Show time)\nGuess who's back again?\nOh they don't know? (Go on tell 'em)\nOh they don't know? (Go on tell 'em)\nI bet they know soon as we walk in (Showin' up)\nWearing Cuban links (ya)\nDesigner minks (ya)\nInglewood's finest shoes (Whoop, whoop)\nDon't look too hard\nMight hurt ya'self\nKnown to give the color red the blues"", ""Ooh shit, I'm a dangerous man with some money in my pocket\n(Keep up)\nSo many pretty girls around me and they waking up the rocket\n(Keep up)\nWhy you mad? Fix ya face\nAin't my fault y'all be jocking\n(Keep up)"", ""Players only, come on\nPut your pinky rings up to the moon\nGirls, what y'all trying to do?\n24 karat magic in the air\nHead to toe soul player\nUh, look out!"", ""Second verse for the hustlas (hustlas)\nGangstas (gangstas)\nBad bitches and ya ugly ass friends (Haha)\nCan I preach? (Uh oh) Can I preach? (Uh oh)\nI gotta show 'em how a pimp get it in\nFirst, take your sip (sip), do your dip (dip)\nSpend your money like money ain't shit (Whoop, whoop)\nWe too fresh\nGot to blame in on Jesus\nThey ain't ready for me"", ""I'm a dangerous man with some money in my pocket\n(Keep up)\nSo many pretty girls around me and they waking up the rocket\n(Keep up)\nWhy you mad? Fix ya face\nAin't my fault y'all be jocking\n(Keep up)"", ""Players only, come on\nPut your pinky rings up to the moon\nHey girls\nWhat y'all trying to do?\n24 karat magic in the air\nHead to toe soul player\nUh, look out!"", ""(Wooh)\nEverywhere I go they be like\nOoh, soul player ooh\nEverywhere I go they be like\nOoh, soul player ooh\nEverywhere I go they be like\nOoh, soul player ooh\nNow, now, now\nWatch me break it down like (Uh)\n24 karat, 24 karat magic\nWhat's that sound?\n24 karat, 24 karat magic\nCome on now\n24 karat, 24 karat magic\nDon't fight the feeling\nInvite the feeling"", ""Just put your pinky rings up to the moon\nGirls, what y'all trying to do?\n24 karat magic in the air\nHead to toe soul player\nPut your pinky rings up to the moon\nGirls, what y'all trying to do? (Do)\n24 karat magic in the air\nHead to toe soul player\n(24 karat)\nUh, look out\n24 karat magic, magic, magic""]",1
116,17,stay,zedd and alessia cara,2017,,
